법정동명,경상자수,발생시간,부상신고자수,사고건수,사망자수,중상자수,lat,lng
가락동,1060,13897,188,1137,11,294,37.496486,127.126006
가리봉동,282,3447,32,284,2,72,37.482944,126.888062
가산동,614,7234,53,571,3,175,37.477598,126.888291
가양동,480,5533,38,423,2,113,37.568238,126.845059
가회동,6,90,0,6,0,1,37.582235,126.984666
갈월동,104,1386,15,98,0,27,37.546267,126.972941
갈현동,391,5298,77,419,3,120,37.621223,126.914993
강일동,248,2762,30,201,5,69,37.569204,127.17162
개봉동,703,9504,56,725,12,238,37.49497,126.851409
개포동,566,7465,76,564,5,165,37.47826,127.052024
개화동,194,2154,12,170,2,55,37.582069,126.801198
거여동,219,3482,34,253,5,63,37.494161,127.145196
견지동,10,187,0,12,0,5,37.573529,126.983065
경운동,22,338,13,24,0,9,37.574538,126.986664
계동,15,207,0,14,0,3,37.581321,126.987016
고덕동,233,3186,24,238,4,68,37.561068,127.160582
고척동,393,5697,43,433,2,144,37.50356,126.855829
공덕동,260,3854,40,286,1,78,37.548828,126.959006
공릉동,988,12088,101,949,7,256,37.623601,127.077388
공평동,29,419,2,29,0,6,37.571692,126.982996
공항동,259,3657,20,272,5,73,37.558805,126.813297
과해동,15,168,0,13,0,0,37.560661,126.794953
관수동,13,265,1,16,0,4,37.5692,126.990527
관철동,73,1060,4,74,0,15,37.569182,126.986053
관훈동,17,231,0,18,0,6,37.574336,126.984857
광장동,288,3692,23,284,3,93,37.546992,127.103926
광희동1가,6,188,2,12,0,4,37.565194,127.005069
광희동2가,34,408,7,29,0,9,37.563799,127.008655
교남동,8,116,1,9,0,4,37.567917,126.965108
교북동,11,181,1,12,0,4,37.572612,126.960436
구기동,37,559,1,39,1,14,37.609211,126.957246
구로동,1835,24542,167,1898,13,552,37.4929,126.886427
구산동,139,2054,16,154,2,50,37.61139,126.910297
구수동,20,235,0,18,0,5,37.545679,126.932695
구의동,598,8412,68,612,8,186,37.544655,127.089493
군자동,254,3480,33,273,1,97,37.553878,127.073516
궁동,160,1922,27,152,0,49,37.49687,126.831303
궁정동,3,100,2,8,0,4,37.584381,126.971489
권농동,8,76,1,7,0,3,37.575619,126.991498
금호동1가,86,1365,12,99,0,34,37.554697,127.023412
금호동2가,29,543,3,37,0,12,37.552482,127.020133
금호동3가,48,863,7,63,0,16,37.549504,127.021812
금호동4가,157,2092,29,159,2,66,37.547468,127.02006
길동,560,8070,81,604,5,202,37.539123,127.143163
길음동,328,4231,19,324,3,95,37.607316,127.02476
낙원동,31,698,6,52,1,20,37.572558,126.988732
남가좌동,221,3743,52,276,5,95,37.577538,126.922311
남대문로1가,19,257,5,19,0,4,37.567451,126.982976
남대문로2가,41,666,9,49,1,13,37.563785,126.981752
남대문로3가,26,440,4,31,0,11,37.561033,126.978259
남대문로4가,72,1087,11,82,0,23,37.560635,126.976863
남대문로5가,182,2617,27,193,2,52,37.557154,126.974366
남산동1가,9,99,0,9,0,2,37.55926,126.984605
남산동2가,18,265,4,20,0,6,37.558534,126.985813
남산동3가,13,159,3,12,0,3,37.560392,126.987105
남영동,47,556,7,43,0,11,37.542934,126.97341
남창동,73,1013,4,75,0,19,37.55845,126.977464
남학동,5,58,1,7,0,3,37.56041,126.99086
남현동,205,2290,23,175,1,47,37.474116,126.976721
내곡동,143,1799,16,136,1,36,37.456881,127.074171
내발산동,233,3719,38,268,2,91,37.552616,126.83573
내수동,20,270,0,20,0,6,37.573113,126.971819
내자동,37,436,1,35,0,7,37.575641,126.971177
냉천동,37,473,2,37,0,9,37.567257,126.96389
노고산동,215,2616,22,204,1,58,37.554402,126.938556
노량진동,633,8231,124,602,2,187,37.510162,126.940418
녹번동,296,3253,44,250,3,100,37.605253,126.929107
논현동,2004,20881,177,1801,4,384,37.513093,127.031353
누상동,1,37,6,3,0,1,37.580478,126.965838
누하동,6,117,1,10,0,3,37.579423,126.968521
능동,126,1626,8,134,1,44,37.553729,127.082381
다동,24,393,1,26,0,5,37.567577,126.981026
답십리동,407,6620,40,504,5,196,37.569883,127.056757
당산동,271,2769,38,214,3,49,37.528625,126.907439
당산동1가,141,1955,26,142,1,32,37.522336,126.898748
당산동2가,83,1033,11,85,0,29,37.522967,126.892688
당산동3가,166,2096,17,150,0,31,37.525551,126.896668
당산동4가,101,1355,11,101,2,25,37.528887,126.898848
당산동5가,76,1075,5,76,0,24,37.532856,126.899187
당산동6가,174,2334,20,163,2,57,37.534373,126.903445
당인동,10,209,4,14,0,5,37.54625,126.920245
당주동,27,421,5,31,0,8,37.571429,126.97457
대림동,770,10699,111,827,6,204,37.494306,126.900642
대방동,572,7075,100,563,5,143,37.504791,126.927862
대신동,98,1283,24,90,0,27,37.566438,126.945199
대조동,266,4379,43,330,5,106,37.612276,126.92285
대치동,1233,17445,208,1334,4,380,37.501711,127.057851
대현동,108,1721,20,124,0,26,37.558086,126.944504
대흥동,127,1802,17,137,3,36,37.551055,126.943731
도곡동,632,8283,92,641,3,186,37.486509,127.040738
도렴동,10,45,1,8,0,1,37.572445,126.975158
도림동,150,2399,20,169,1,51,37.509277,126.902494
도봉동,387,6505,80,486,7,179,37.678103,127.043249
도선동,71,1088,12,91,0,26,37.563897,127.033258
도원동,8,108,0,8,0,1,37.539188,126.95794
도화동,255,3292,20,249,1,75,37.539966,126.95
독산동,1163,15274,110,1172,9,393,37.469371,126.901246
돈암동,223,2811,13,213,2,73,37.598415,127.020288
돈의동,6,90,2,8,0,0,37.572085,126.990736
동교동,367,4751,38,368,0,90,37.55765,126.925663
동빙고동,90,793,7,72,0,23,37.523599,126.995949
동선동1가,69,1304,10,92,0,22,37.592065,127.01826
동선동2가,49,755,4,56,0,17,37.590091,127.020053
동선동3가,29,324,4,26,0,3,37.594108,127.020597
동선동4가,59,646,8,64,0,15,37.595087,127.018541
동선동5가,15,224,1,17,0,5,37.596185,127.016726
동소문동1가,35,479,3,34,0,14,37.589858,127.00746
동소문동2가,18,220,4,20,2,2,37.588696,127.008412
동소문동3가,40,457,4,40,1,19,37.590052,127.010816
동소문동4가,19,372,1,29,1,11,37.591541,127.010756
동소문동5가,64,739,6,57,0,12,37.591666,127.01559
동소문동6가,70,809,2,59,0,16,37.59377,127.014858
동소문동7가,21,311,1,22,0,12,37.596303,127.014721
동숭동,68,1093,15,78,0,9,37.581654,127.005083
동자동,49,873,5,63,1,17,37.551535,126.974137
동작동,271,3241,32,246,2,80,37.496605,126.980985
둔촌동,321,4048,34,333,2,116,37.531157,127.142891
등촌동,558,7661,81,575,1,175,37.551325,126.858411
마곡동,442,5781,35,455,7,159,37.566092,126.830395
마장동,224,3362,20,269,5,88,37.567305,127.039084
마천동,218,3852,36,275,5,71,37.497117,127.152393
마포동,135,1330,13,110,1,37,37.537003,126.945323
만리동1가,4,89,1,9,0,5,37.556408,126.967319
만리동2가,24,518,1,33,0,12,37.553986,126.96415
망우동,658,9799,107,733,4,229,37.596678,127.100419
망원동,474,5697,49,433,3,113,37.55662,126.903976
면목동,1531,21798,248,1707,10,487,37.58442,127.086487
명동1가,12,286,3,18,0,3,37.564135,126.984148
명동2가,18,344,5,25,0,6,37.56288,126.984505
명륜1가,14,231,2,18,1,2,37.588347,126.997733
명륜2가,33,518,7,42,0,11,37.584521,126.998638
명륜3가,7,171,2,12,0,4,37.588359,126.994739
명륜4가,30,420,5,31,0,11,37.582225,127.000008
명일동,233,4042,26,285,3,114,37.549276,127.147555
목동,1570,20465,184,1575,9,356,37.539776,126.869079
묘동,8,222,4,14,0,3,37.572598,126.991715
무교동,6,131,1,9,0,3,37.567732,126.979171
무악동,12,117,2,9,0,2,37.575906,126.959334
무학동,16,217,2,18,0,9,37.564149,127.015091
묵동,383,6822,61,508,2,190,37.611266,127.077829
묵정동,13,241,0,19,0,7,37.561401,127.000871
문래동1가,129,1259,18,98,0,20,37.512364,126.897201
문래동2가,68,910,7,66,1,18,37.51329,126.893779
문래동3가,202,3046,37,229,3,61,37.516929,126.897249
문래동4가,33,446,3,32,0,5,37.515082,126.890475
문래동5가,105,1209,15,92,1,20,37.515863,126.885676
문래동6가,59,841,8,60,1,15,37.519342,126.886528
문배동,29,467,3,31,0,10,37.536423,126.969346
문정동,820,10822,123,843,3,230,37.486581,127.127495
미근동,71,1036,21,77,0,17,37.563162,126.967026
미아동,1565,20179,101,1595,7,490,37.621298,127.024902
반포동,1693,18372,171,1421,9,353,37.502816,127.010493
방배동,1185,14572,78,1171,9,335,37.484677,126.989955
방산동,10,161,0,12,0,8,37.568469,127.001903
방이동,867,12234,149,943,4,241,37.512017,127.116902
방학동,500,8482,93,611,2,207,37.666224,127.03665
방화동,461,7053,62,528,6,179,37.569138,126.812192
번동,776,9389,36,760,11,207,37.635123,127.032072
보광동,122,1918,14,142,1,45,37.528858,126.999766
보문동1가,43,510,8,49,0,11,37.586226,127.019779
보문동2가,45,724,5,48,0,15,37.585602,127.018306
보문동3가,11,97,1,9,0,3,37.584277,127.017551
보문동4가,15,208,0,17,0,4,37.582645,127.021437
보문동5가,14,279,2,18,0,7,37.582359,127.019936
보문동6가,17,242,1,16,0,5,37.580444,127.019694
보문동7가,30,501,1,36,1,8,37.580033,127.02182
본동,241,2853,42,216,1,52,37.511491,126.954336
봉래동1가,47,688,5,49,0,18,37.558687,126.972589
봉래동2가,115,1749,16,127,1,27,37.557841,126.97062
봉원동,6,42,2,6,0,1,37.569952,126.947063
봉익동,2,57,1,4,0,1,37.572398,126.992873
봉천동,1458,20493,150,1602,13,455,37.482717,126.949951
부암동,51,693,6,47,1,10,37.594148,126.964248
북가좌동,236,4171,61,321,2,108,37.580344,126.912261
북아현동,96,1726,16,126,0,35,37.561666,126.95617
북창동,16,183,5,17,0,5,37.5625,126.978056
불광동,372,5788,69,432,3,122,37.620465,126.927435
사간동,2,38,1,3,0,1,37.577668,126.980593
사근동,53,943,9,70,0,25,37.561371,127.046789
사당동,603,9189,90,717,4,226,37.483974,126.974999
사직동,48,462,6,37,1,6,37.573711,126.966295
산림동,2,51,1,4,1,0,37.567564,126.996085
산천동,7,93,0,7,0,0,37.535428,126.952396
삼각동,2,44,1,3,0,1,37.567588,126.983748
삼선동1가,49,708,9,51,1,12,37.585059,127.007942
삼선동2가,29,493,2,35,0,10,37.585259,127.010538
삼선동3가,24,479,4,31,0,5,37.586298,127.012802
삼선동4가,36,457,4,38,0,14,37.589818,127.013135
삼선동5가,72,884,5,67,1,19,37.58825,127.015789
삼성동,1029,11871,114,963,4,253,37.512792,127.053085
삼전동,301,5658,72,414,1,141,37.502724,127.092352
삼청동,28,272,1,26,0,6,37.585404,126.982123
상계동,2027,24648,226,1983,17,515,37.6671,127.072189
상도1동,213,2543,37,202,3,55,37.502889,126.950645
상도동,701,10770,129,822,7,251,37.499206,126.940385
상봉동,624,9205,99,699,6,226,37.596267,127.085704
상수동,115,1313,10,110,2,32,37.547431,126.922946
상암동,579,6342,60,496,1,146,37.577131,126.893488
상왕십리동,65,948,4,77,3,28,37.569332,127.025349
상월곡동,66,1005,5,73,1,18,37.606723,127.048393
상일동,242,2844,40,229,2,72,37.54822,127.17063
서계동,20,357,2,27,0,12,37.552113,126.966089
서교동,712,7966,66,681,2,173,37.55391,126.918985
서린동,53,717,6,50,0,17,37.569668,126.979809
서빙고동,265,2848,19,219,3,76,37.521042,126.993023
서소문동,58,785,6,59,0,15,37.563075,126.974142
서초동,2061,25709,309,2102,14,544,37.488514,127.016222
석관동,275,3926,19,302,3,98,37.608823,127.060712
석촌동,372,6206,82,476,4,171,37.502699,127.102321
성내동,711,10760,116,839,7,249,37.531338,127.129174
성북동,72,1073,8,77,0,31,37.594567,126.997514
성북동1가,42,290,3,27,0,6,37.589374,127.003652
성산동,669,7855,81,602,2,183,37.563317,126.91087
성수동1가,874,9862,87,776,8,209,37.544661,127.046772
성수동2가,426,5947,56,480,9,136,37.541123,127.056125
세곡동,183,2059,19,161,0,33,37.466494,127.103021
세종로,228,2830,21,202,1,63,37.572655,126.976742
소격동,29,317,7,22,0,5,37.580122,126.981424
소공동,97,1338,8,97,0,25,37.563731,126.980135
송월동,5,59,0,4,0,0,37.569779,126.96576
송정동,124,1618,11,130,1,40,37.552124,127.067652
송파동,484,7689,93,573,2,166,37.506058,127.111216
송현동,1,15,0,1,0,0,37.577322,126.982187
수색동,172,1930,20,149,3,51,37.585121,126.89426
수서동,373,4668,48,342,4,97,37.485767,127.098137
수송동,31,391,2,34,0,10,37.573994,126.981139
수유동,1237,16541,77,1283,9,341,37.639388,127.017183
수표동,4,113,0,7,0,3,37.567358,126.989674
수하동,2,51,0,3,0,1,37.567242,126.984082
순화동,49,716,11,55,0,11,37.562471,126.970566
숭인동,232,3744,62,290,1,81,37.575979,127.018802
시흥동,986,12621,116,933,9,297,37.453325,126.906222
신계동,13,233,0,16,0,4,37.534581,126.964922
신공덕동,56,862,3,60,0,20,37.544374,126.956854
신교동,12,174,2,11,0,2,37.583911,126.968354
신길동,961,13373,132,1058,7,302,37.507088,126.913103
신내동,549,7755,79,568,4,174,37.607237,127.098924
신당동,456,7409,78,616,3,248,37.559441,127.013427
신대방동,504,7403,93,565,5,172,37.492678,126.917721
신도림동,383,4767,32,358,0,113,37.509454,126.880425
신림동,1947,25692,250,2137,15,596,37.476412,126.925691
신문로1가,52,638,4,45,0,12,37.570366,126.973968
신문로2가,41,687,4,52,2,26,37.571299,126.968815
신사동,1188,14599,126,1167,2,301,37.522893,127.028589
신설동,216,2995,19,236,4,61,37.575204,127.026023
신수동,107,1634,11,127,1,45,37.547351,126.937074
신영동,57,654,6,51,1,13,37.602696,126.961378
신원동,44,606,7,44,0,18,37.447112,127.058841
신월동,1357,16223,147,1290,13,330,37.529444,126.834248
신정동,1297,18058,175,1428,13,428,37.521636,126.857957
신창동,6,130,0,7,0,2,37.53573,126.955199
신천동,530,7050,69,516,7,147,37.517302,127.104967
신촌동,102,1362,20,112,2,35,37.568134,126.946792
쌍림동,39,622,11,47,1,24,37.563176,127.004625
쌍문동,483,7871,97,587,4,193,37.652731,127.02871
아현동,188,2382,17,186,3,67,37.555483,126.955998
안국동,40,455,6,32,0,8,37.577515,126.983939
안암동1가,32,395,2,32,0,6,37.588393,127.021456
안암동2가,31,430,2,33,2,9,37.586638,127.022973
안암동3가,16,285,2,20,0,5,37.583915,127.02328
안암동4가,19,297,2,25,0,9,37.580811,127.024633
안암동5가,133,2001,14,150,0,44,37.586083,127.029493
암사동,394,5827,67,438,5,149,37.552497,127.13301
압구정동,602,5446,43,434,4,99,37.528752,127.031766
양재동,1335,15793,154,1214,8,298,37.474839,127.041717
양평동,23,335,4,23,0,4,37.522602,126.881344
양평동1가,152,1741,19,134,0,39,37.523571,126.888814
양평동2가,94,1069,8,87,3,15,37.52427,126.884578
양평동3가,358,3616,34,280,1,64,37.528148,126.889731
양평동4가,306,3342,32,268,0,66,37.537079,126.89626
양평동5가,64,1098,14,77,1,26,37.538964,126.893422
양평동6가,182,2022,27,156,1,31,37.542645,126.890065
양화동,111,1072,25,85,0,21,37.545629,126.891554
여의도동,1403,16784,198,1294,9,344,37.524371,126.925958
역삼동,2179,26818,284,2254,10,549,37.500335,127.037596
역촌동,325,4593,37,353,2,102,37.60477,126.915663
연건동,100,1466,28,117,0,26,37.5775,127.000903
연남동,147,2004,21,157,0,42,37.562962,126.921783
연지동,14,249,6,17,0,6,37.57359,126.999447
연희동,448,6020,101,468,1,138,37.570389,126.929628
염곡동,89,1165,8,82,1,22,37.462035,127.052837
염리동,71,952,10,74,0,18,37.551546,126.947279
염창동,382,4662,37,326,5,120,37.551366,126.8713
영등포동,151,2329,11,175,4,62,37.513448,126.907724
영등포동1가,161,1725,15,141,1,38,37.51771,126.913057
영등포동2가,206,2308,19,179,1,38,37.520839,126.910094
영등포동3가,230,3427,44,263,1,78,37.518155,126.907998
영등포동4가,170,2094,22,156,0,33,37.517981,126.903506
영등포동5가,36,781,8,56,3,21,37.521133,126.907084
영등포동6가,65,867,10,64,0,14,37.521556,126.90309
영등포동7가,259,2631,26,217,1,48,37.524619,126.90667
영등포동8가,120,1379,15,101,1,27,37.527015,126.905253
영천동,79,881,11,71,0,19,37.570759,126.96046
예관동,11,161,0,16,0,9,37.564357,126.99822
예장동,72,725,12,55,1,18,37.557397,126.990492
예지동,11,244,2,18,0,9,37.569643,126.997971
오곡동,6,79,0,7,0,2,37.554615,126.775768
오금동,430,5907,102,442,3,115,37.503984,127.135124
오류동,453,5980,37,455,6,137,37.494129,126.840746
오쇠동,0,10,0,1,0,1,37.541148,126.796575
오장동,11,262,3,21,1,6,37.564685,127.0007
옥수동,186,2335,18,180,0,62,37.542764,127.014662
옥인동,12,140,1,11,0,2,37.582175,126.967275
옥천동,11,158,2,12,0,1,37.569686,126.96089
온수동,46,701,2,53,1,20,37.493507,126.820255
와룡동,43,709,19,60,2,25,37.57695,126.991141
외발산동,92,1169,9,90,1,22,37.546721,126.821871
용강동,59,653,4,47,0,8,37.541967,126.940414
용답동,129,2000,22,152,0,31,37.564354,127.052795
용두동,554,8923,66,682,10,231,37.576328,127.034621
용문동,50,806,1,55,1,12,37.537571,126.959936
용산동1가,48,459,1,36,0,10,37.534968,126.977282
용산동2가,100,1526,7,110,1,34,37.544184,126.98511
용산동3가,46,418,6,34,0,7,37.533189,126.974319
용산동4가,28,399,1,29,0,13,37.534964,126.986876
용산동5가,7,187,0,14,2,7,37.527123,126.97083
용산동6가,53,527,1,40,1,5,37.51915,126.983164
우면동,273,3274,26,251,0,94,37.466629,127.021892
우이동,52,737,2,57,2,22,37.658785,127.01119
운니동,29,374,1,28,0,6,37.576159,126.989206
원남동,53,535,19,44,0,15,37.575326,126.997429
원서동,3,75,1,5,0,2,37.581687,126.988696
원지동,249,1341,53,115,5,59,37.446848,127.053774
원효로1가,76,1193,7,88,0,28,37.539977,126.966998
원효로2가,66,808,6,60,2,18,37.536307,126.963165
원효로3가,33,484,4,37,1,8,37.53414,126.956862
원효로4가,86,869,3,72,0,20,37.533504,126.952763
월계동,556,8232,67,627,4,177,37.622192,127.05865
율현동,66,778,10,54,0,13,37.47145,127.107251
을지로1가,73,920,14,67,0,14,37.566295,126.980137
을지로2가,115,1762,16,124,1,30,37.565757,126.985892
을지로3가,19,386,3,27,0,9,37.566292,126.992337
을지로4가,43,624,9,54,2,26,37.566587,126.998139
을지로5가,32,602,6,46,1,22,37.566455,127.001862
을지로6가,104,1715,12,130,0,47,37.566868,127.00631
을지로7가,46,556,13,49,0,18,37.565117,127.009288
응봉동,60,800,6,62,0,18,37.551169,127.031462
응암동,400,6829,61,518,5,180,37.592677,126.920257
의주로1가,14,164,0,13,0,3,37.564783,126.968176
의주로2가,25,316,2,26,0,6,37.559382,126.969985
이문동,248,4837,30,348,4,143,37.598851,127.062465
이촌동,462,5202,33,402,6,98,37.524133,126.961987
이태원동,574,6138,53,564,2,177,37.5367,126.992151
이화동,20,335,2,24,0,6,37.577066,127.006358
익선동,3,72,1,5,0,1,37.574082,126.989819
인사동,24,298,0,22,0,6,37.571837,126.986206
인의동,19,356,9,25,0,2,37.573102,126.997921
인현동1가,5,112,0,8,0,5,37.564472,126.994232
인현동2가,3,114,1,9,0,5,37.56378,126.995779
일원동,294,3722,39,278,2,77,37.491326,127.083799
입정동,5,75,1,5,0,0,37.567709,126.993042
자곡동,205,2641,19,185,1,45,37.476796,127.100387
자양동,779,10538,70,826,7,250,37.534692,127.074327
잠실동,1418,19148,277,1470,7,432,37.506967,127.083673
잠원동,797,9450,89,721,6,179,37.513667,127.016166
장교동,37,287,20,22,0,3,37.567116,126.987193
장사동,12,274,6,20,0,6,37.569411,126.99383
장안동,944,14317,99,1101,6,326,37.570749,127.068233
장위동,345,5697,33,408,8,128,37.614232,127.050118
장지동,645,7732,100,585,4,146,37.478077,127.133269
장충동1가,52,492,8,41,0,18,37.561397,127.007583
장충동2가,146,1841,23,143,0,71,37.55991,127.00256
재동,10,164,3,13,0,4,37.578363,126.985575
저동1가,19,312,4,22,0,5,37.564362,126.987314
저동2가,11,143,1,14,0,5,37.564385,126.990257
적선동,51,677,6,49,0,14,37.576122,126.973453
전농동,464,7305,41,542,10,183,37.579797,127.053848
정동,27,356,5,28,0,5,37.566905,126.972078
정릉동,795,9717,71,754,5,237,37.608442,127.008288
제기동,491,7965,54,598,4,222,37.584134,127.03796
종로1가,30,327,3,29,0,10,37.570479,126.980434
종로2가,88,1237,12,103,0,32,37.570195,126.986454
종로3가,80,1084,14,83,1,30,37.570337,126.992072
종로4가,55,868,15,67,1,26,37.570618,126.998135
종로5가,107,1511,28,131,3,43,37.57054,127.003794
종로6가,117,1795,37,140,2,38,37.572572,127.006996
종암동,445,6175,39,483,4,149,37.597405,127.035032
주교동,9,179,3,13,0,4,37.568136,126.999252
주성동,11,195,0,15,1,8,37.522591,126.998382
주자동,20,166,1,13,0,7,37.560755,126.98985
중계동,667,9629,88,710,2,222,37.646989,127.082411
중곡동,477,7234,43,559,7,197,37.561882,127.084745
중동,37,604,1,42,0,17,37.5704,126.907656
중림동,73,1025,12,75,0,11,37.558715,126.96584
중학동,26,372,4,26,0,10,37.575301,126.979265
중화동,546,8251,101,609,2,193,37.59975,127.077718
증산동,153,1955,21,163,1,54,37.584724,126.907223
진관동,225,3291,21,248,4,89,37.644355,126.936524
창동,813,12256,127,936,6,304,37.64344,127.039413
창성동,4,71,0,6,0,3,37.580363,126.972065
창신동,252,4015,65,323,3,91,37.574729,127.012062
창전동,155,1758,17,146,1,43,37.550966,126.929835
창천동,215,3208,41,254,0,66,37.558584,126.934113
천연동,7,97,7,7,0,1,37.568285,126.960571
천왕동,57,920,12,63,2,21,37.482016,126.841789
천호동,820,13535,133,1036,9,353,37.543676,127.131748
청담동,825,9695,89,774,10,210,37.523404,127.046858
청량리동,310,4936,30,361,3,115,37.586643,127.044621
청암동,24,211,1,21,2,4,37.53504,126.9465
청운동,20,242,9,23,0,6,37.587111,126.969069
청진동,51,665,3,44,0,11,37.571886,126.980676
청파동1가,15,277,1,22,0,8,37.54887,126.967046
청파동2가,36,586,4,45,0,13,37.546067,126.967745
청파동3가,55,950,9,72,0,26,37.543407,126.968276
체부동,14,179,0,15,1,5,37.577645,126.970877
초동,13,220,2,17,0,6,37.564226,126.992375
충무로1가,87,1094,14,82,0,15,37.561279,126.98343
충무로2가,35,781,15,52,1,18,37.561903,126.987942
충무로3가,5,116,2,10,0,3,37.562676,126.991874
충무로4가,12,297,4,26,1,14,37.562463,126.995255
충무로5가,12,307,1,22,0,11,37.562923,126.999921
충신동,27,378,9,28,0,10,37.575189,127.006471
충정로1가,5,91,1,7,0,2,37.567411,126.968642
충정로2가,56,799,14,59,0,20,37.565192,126.964529
충정로3가,63,1006,10,80,0,27,37.562611,126.961351
태평로1가,73,1050,8,77,0,26,37.568174,126.976805
태평로2가,66,831,13,67,0,18,37.563334,126.976861
토정동,22,252,2,18,0,5,37.54035,126.940474
통의동,20,276,0,20,0,11,37.578307,126.972872
통인동,9,168,1,11,0,2,37.580141,126.970127
팔판동,5,105,3,9,0,1,37.582882,126.980836
평동,45,442,1,32,0,10,37.567121,126.967018
평창동,168,1740,16,130,1,43,37.61042,126.969837
풍납동,565,7715,117,583,7,152,37.534673,127.117643
필동1가,27,264,7,22,0,3,37.560992,126.992264
필동2가,25,360,3,31,0,7,37.55896,126.995427
필동3가,3,64,1,5,0,2,37.559069,126.997152
필운동,12,167,5,15,0,2,37.577076,126.968848
하계동,492,6524,50,502,3,152,37.63689,127.073145
하왕십리동,125,2085,22,147,4,50,37.562462,127.029586
하월곡동,637,7890,50,641,4,182,37.605662,127.035753
하중동,25,254,1,15,0,4,37.54575,126.928674
한강로1가,102,1285,8,102,2,30,37.534384,126.973765
한강로2가,160,2160,12,157,3,43,37.531715,126.970242
한강로3가,273,3497,13,266,2,72,37.524659,126.963299
한남동,789,8909,62,729,5,196,37.533889,127.003955
합동,17,160,3,16,1,7,37.561567,126.966566
합정동,526,4884,53,407,4,83,37.549046,126.911558
항동,82,951,11,73,0,26,37.484059,126.82298
행당동,425,5552,50,429,5,95,37.559076,127.035869
행촌동,14,249,1,20,0,11,37.574294,126.962469
현석동,29,257,7,20,0,3,37.54384,126.933903
현저동,149,871,33,77,0,37,37.576486,126.95422
혜화동,120,1476,15,112,1,28,37.587955,127.001157
홍은동,434,6251,104,488,7,151,37.59156,126.938775
홍익동,83,1153,4,89,0,28,37.566144,127.032921
홍제동,387,6339,89,477,9,148,37.588734,126.946107
홍지동,37,667,10,46,0,15,37.60031,126.957773
화곡동,1734,22092,188,1785,12,486,37.538358,126.847336
화동,3,63,0,4,0,1,37.580693,126.982268
화양동,441,5555,35,457,2,121,37.544427,127.070047
황학동,89,1633,22,129,0,44,37.56794,127.020367
회기동,115,1898,18,145,0,43,37.591447,127.051971
회현동1가,82,1164,18,91,0,29,37.557439,126.980748
회현동2가,42,496,1,42,0,11,37.558033,126.983443
회현동3가,5,138,2,8,0,3,37.56006,126.984082
효자동,5,95,0,6,0,1,37.582416,126.97167
효제동,21,309,1,23,0,10,37.572859,127.003417
효창동,49,798,7,61,0,25,37.543291,126.961214
후암동,70,1197,8,90,0,32,37.549171,126.978938
훈정동,3,49,0,3,0,0,37.57098,126.995131
휘경동,407,6348,45,465,8,169,37.589592,127.061228
흑석동,278,3881,48,294,5,79,37.505964,126.962578
흥인동,42,771,8,64,1,30,37.566792,127.016839
